,Micheal Jones,Charlie Ray,Steve House,Classic Name,Generic Name
2020/10/22-08:30,1.0,1.0,1.0,1.0,1.0
2020/10/22-08:35,1.0,1.0,1.0,1.0,1.0
2020/10/22-08:40,1.0,1.0,0.0,1.0,1.0
2020/10/22-08:45,1.0,1.0,1.0,1.0,1.0
2020/10/22-08:50,1.0,1.0,1.0,1.0,1.0
2020/10/22-08:55,1.0,1.0,0.0,1.0,1.0
2020/10/22-09:00,1.0,1.0,0.0,1.0,1.0
2020/10/22-09:05,0.0,1.0,1.0,0.0,1.0
2020/10/22-09:10,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:15,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:20,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:25,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:30,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:35,1.0,1.0,0.0,1.0,0.0
2020/10/22-09:40,1.0,0.0,1.0,1.0,1.0
2020/10/22-09:45,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:50,1.0,1.0,1.0,1.0,1.0
2020/10/22-09:55,1.0,1.0,1.0,0.0,1.0
2020/10/22-10:00,1.0,0.0,1.0,1.0,1.0
